DatasetID,CommitId,tentative_type,log_message
tingxinli/dataset6880,60d860408907ac73d37042a2ac86dd9c4cdbabe7,merge,Upload merged_qa_pairs.csv
NicolaiSivesind/ChatGPT-Research-Abstracts,e1ad7586af600af58359d1b565e73a79d29c861a,cleaning,changed automatic text cleaning to only fix whitespaces
aysusoenmez/awareness_dataset,df5def79dc4abd321020cc16709f2d760a9fff59,column/field add-remove,added column for pmids
pauri32/fiqa-2018,d8c84dd58075db450124073fc2d8de42d261f01c,rename/split-standardization,Delete non-split dataset
staxjp/tick,082eed36505334fe5c121dc3b162554feeb3872f,merge,Upload mergedALL_data.csv
imageomics/Heliconius-Collection_Cambridge-Butterfly,6ef14cc5d27e932b7928f349e14917ef444fc64e,deduplication,Deduplicate Dataset (#3)
imageomics/Heliconius-Collection_Cambridge-Butterfly,38a17b32dbb4ccbfb770c9fca414c51ddbd3c820,normalize/standardize/encode,standardize datasets (#2)
freQuensy23/turbo-alpaca-cleaned,e6d60f6512f74fe706307f35ee599e5bbe760f8a,cleaning,Upload turbo-alpaca-cleaned.csv
hingu/chungjudam,14cd38aa62b17ff72cbbce1d57c64bf5391671be,merge,Upload merged_s.csv
hagara/labelled-PubMedQA,4d3278eca43212dfa6b13baa1430f009ffafb316,cleaning,Upload clean no space answers 440 record.csv
hagara/labelled-PubMedQA,323a26982ec84807c34d51d8a5da8a8dc25d4e03,cleaning,Delete clean no space answers 440 record.csv
hagara/labelled-PubMedQA,ffca9c5e26df0827fa97c659e343fb5fb0bd6017,cleaning,Delete clean answers 440 record.csv
hagara/labelled-PubMedQA,49e761715c2d7292c6c947cbc98367c10ebe6238,cleaning,Upload clean answers 440 record.csv
luiseduardobrito/ptbr-quora-translated,a7df686076155d4961bfcb429509a53459627e49,deduplication,Upload quora_duplicate_questions_translated.csv
nus-yam/ex-repair,563b4c6b9ef82f52d50510d21dea6888336fe2fd,column/field add-remove,Fix column name
polinaeterna/tabular-benchmark,8020d0cc485b75b30126cc18aef40e6217fc5c70,deduplication,Duplicate from inria-soda/tabular-benchmark
BramVanroy/xlwic_wn,64d0be4341de336b3361284915cd65972640ca97,merge,merge label and test files
handiism/kalorize,52de5e1719617b17ea0ef005971eed6251e75d90,cleaning,Upload cleaned_recipes.csv
katarinayuan/ProtST-SubcellularLocalization,a262887f1ec2b932f1c46a7967fd8bfe7e4c0e70,rename/split-standardization,train split
katarinayuan/ProtST-SubcellularLocalization,942419395d983978255fdc29c68f6f068d56897d,rename/split-standardization,valid split
katarinayuan/ProtST-SubcellularLocalization,77798273430d13baf7a22aad18820e08f361f6b5,rename/split-standardization,test split
PDBEurope/protein_chain_conformational_states,4342f67b3b919158bb1cc9c5f07740083d088123,column/field add-remove,Benchmark dataset with label_asym_id column
ibm-research/popqa-tp,4f2e7e4224ed70e5fded428b1a3d9867b12ac224,column/field add-remove,drop group column
Aniket-Tathe-08/Custom_common_voice_dataset_using_RVC,87be16e361982c4838b3f4e786906fc2fff88c74,cleaning,Clean up of tsv files (#11)
kodylow/kaggle_churn,7aecefbca3220c7abb9b21ed758c0c25d66c0584,merge,Upload merged_data.csv
syntaxnoob/weather-prediction-prototype-aws,a2061d30db07e32f34f5d50160bb77b8f4891f78,restructure/reorg/consolidate,restructure of the dataset
syntaxnoob/weather-prediction-prototype-aws,c1e55b9082148aeb0a2ea5d4f30378a8ced8120c,cleaning,cleanup data
jin-ying-so-cute/ecommerce-user-behavior-data,ea6544220d3d36dc8c49b82de55438825ade2b9a,cleaning,Delete cleaned-2019-Oct.csv
jin-ying-so-cute/ecommerce-user-behavior-data,1b03c81c4c8cbfce388c5c92f3111552591b76c3,cleaning,Delete cleaned-2019-Nov.csv
jin-ying-so-cute/ecommerce-user-behavior-data,783ef005b46e8b4bdc85ceb6388b98f7018f1f79,cleaning,Delete cleaned-2019-Dec.csv
vishwa27/MAWPS-MNLI-CalX-NumEval,08b9d0d642d4760325626aabcfc379be4c6f9d31,normalize/standardize/encode,Adding train and test files for encoder-decoder based approach
faisal4590aziz/bangla-health-related-paraphrased-dataset,d695b9b4ffe341cfcb2fa531865fa7c59d669591,cleaning,200k cleaned and final data
faisal4590aziz/bangla-health-related-paraphrased-dataset,7a1d4cdc3d78ce1bb280a55f5090b4a93b9a80eb,cleaning,cleaned paraphrased dataset
Brandon-h/offensive-and-grooming-dataset,545b0ea518224b5bb9c052c2ef0fec97c51f3dbe,rename/split-standardization,test-train-validation split up!
neenax/problem_explanation,0a85b52310dc617cef3f90726468479b9aca70bd,cleaning,Rename unit3-7-problems-clean-response-vsteacher-GPT-checked.csv to unit3-7-combined.csv
domdomingo/sasb_embeddings,8e7e90233195a1e2cc6c584f5f0902d0caca6173,merge,"Merged Diversity & Inclusion with other, because of , issue"
erinmikail/90dayfiance,a0c72210d3ef5443ee8cd466ba9d974cfe719db3,column/field add-remove,Rename 72_90_Day_Fiance_Data - Without wikipedia edit column.csv to 90dayfiance.csv
erinmikail/90dayfiance,1eddf5936ee63bd346317cefee9109288fa481bd,column/field add-remove,Upload 72_90_Day_Fiance_Data - Without wikipedia edit column.csv
AngelBottomless/Danbooru2023-CSV-Simple,a16053b1b5542f7f8bbf06c165cf65cc426b2646,merge,Merge ratings
rcade/amharic_words,d00cea5c7bb12cb928d28e5169de3f9d38fdb393,cleaning,Delete clean.xlsx
rcade/amharic_words,4511dced74e3ab3c8fd3a615dbf66be9685527ff,cleaning,Upload clean.xlsx
profoz/people,0d8769d599e21afe6b3ac13cb95bba0e406fbaef,cleaning,Upload cleaned_people.csv
mattrichmo/NetFlix-Imdb-Engagements-Films,9d331d08f1383a9b2a7083f4acbb678a89227a50,cleaning,Upload cleanDataFilmFlat.csv
mattrichmo/Netflix-Imdb-Engagement-Match-TV,e5b6fbbbc56f70f07946cdf547532052309193e4,cleaning,Upload cleanDataTVFlat.csv
aisuko/quora_duplicate_questions,a14d27956a816dbb441515c1b732465fe5064092,deduplication,Upload quora_duplicate_questions.tsv
Aharneish/cleaned_qa,dd4d1105058ea5f844111b6bec9a7a8efce450e7,cleaning,Upload cleaned qa.csv
sinkcup/openspd,fcb01e8fab69a06bca91a772f1dc696b20739fad,rename/split-standardization,feat: split char and text
kjappelbaum/chemnlp-ld50catmos,09c6e88cd286a264a6af4874722402696dd022b3,cleaning,Upload cleaned_ld50.csv
Krooz/Campus_Recruitment_CSV,ef1722f20a8a14a572b468e8f1e15a169290366b,rename/split-standardization,Split the raw dataset
maomlab/AqSolDB,4c7e1813bd18896c56c3666a1d917a2e86975102,column/field add-remove,Sanitized smiles column and renamed to SMILES
Cleanlab/databricks-dolly-15k-cleanset,70130fbf5037019481c4e9fdab93254fc6c1e3b8,cleaning,Delete databricks-dolly-15k-cleaned.csv
djulian13/east-slavic-swadesh-lists,a4c5651f5e37523dd15324b68e4c13c905dfa094,rename/split-standardization,Split by ;
maomlab/AttentiveSkin,59fd286b33b013030c6bdb2f02fdaafaf9e7ca2c,column/field add-remove,Rename smiles column to SMILES
rukja/data,484ff06bcfe537334efd9a75877ec0c448cb81be,cleaning,Upload cleaned_opinions_df.csv
froggeric/creativity,7f490178b76cc8c6a1225d840eb668789c4a2830,deduplication,removed duplicate
cladsu/COSER-2024,f6a68ab6badd610c8a724868ab97333ee6e428f6,cleaning,Rename CLEAN_df_hack_full.csv to df_hackathon.csv
cladsu/COSER-2024,b70d02cafe8fe2bbe820c41230013f1c82ced093,cleaning,Upload CLEAN_df_hack_full.csv
maomlab/MutagenLou2023,ab15c3a9c554926f6493ba05c7b2f790f46fb591,column/field add-remove,Rename smiles column to SMILES
maomlab/MutagenLou2023,486066a45af05043de7eb098c1804f606a1d8e7e,column/field add-remove,Sanitized 'smiles' and changed the column name from 'smiles' to 'SMILES'.
hafsteinn/faroese_sentiment_analysis,8e6f5b1512a445337271bc8d590a8c2bbe97be2b,column/field add-remove,Updated column names.
phonemetransformers/IPA-CHILDES,051c381e7e404fcb457eda9b208ac17e11783481,column/field add-remove,Update column order and remove language_code
phonemetransformers/IPA-CHILDES,aa13be7546cc6a6d4f319cab9e89e0f821848a3a,rename/split-standardization,Remove train-valid split
phonemetransformers/IPA-CHILDES,d45274c2d18b4aa53f816f5844777f566f087e34,column/field add-remove,Fix Turkish target_child_sex column loading issue
phonemetransformers/IPA-CHILDES,60d41c96b394f1a039af5dd7285ff723678dff20,column/field add-remove,Fix Dutch target_child_sex column loading issue
the-cramer-project/kyrgyz_MNIST,5f3f80e7d8937e37b1f0d61cae08d309a9ecbd12,deduplication,Duplicate from CramerProject/kyrgyz_MNIST
shamotskyi/ua_cbt_stories,7674bb8ad2483fc30bd6b2d35eec2ffca1287448,cleaning,Update dataset with cleaned-up single-file version
saraprice/OpenHermes-headlines-2017-2019-balanced,35cb221374067b738639b8f62eeff6366b9d854a,normalize/standardize/encode,fixing encodings
saraprice/OpenHermes-headlines-2017-2019-balanced,97cd54eab09d7555f227f5b48c8cb0af296dc1b4,normalize/standardize/encode,fixing encoding on csvs
ag2435/stackexchange,a82e3ba9344269a694e116bb6f1f86dc41f46d1e,cleaning,added cleaned dataset
ritzfy/2019_Major_Indian_Airlines_Data,b234f06fec29661b7bdf7d2680c9979698e4abe4,cleaning,Upload cleaned_data.csv
pharaouk/DiagGSM8K,f80b1b62b3cf46de978fda5f159ef953c0d5e661,deduplication,Duplicate from Randolphzeng/DiagGSM8K
testiyyy/amazonData,c91a03e8eaf5ff130c3a7210867e0f1cffdc25bf,merge,Upload mergedAmazonProducts.csv
shubhamofbce/clean_test,6b3e6deb41e644847dc70b718fc15bb6e4f4c481,cleaning,Upload clean_test1.csv
NLPLabNTUST/Merged-CWA,3f07b6912d5caed4a0b5cc5b8c36799461ecd4c0,merge,Upload merge2015_2018.tar.gz
NLPLabNTUST/Merged-CWA,713427dc768348d05b4998fc300b2e4e90285f91,merge,Upload merge2019_2021.tar.gz
NLPLabNTUST/Merged-CWA,cd156417ca92c3c8d973200fb7cc297c2d4b4edc,merge,Upload merge2011_2014.tar.gz
NLPLabNTUST/Merged-CWA,b2022cbd47dc1b6f4a13d43237b46b9be9c41f3f,rename/split-standardization,Upload chunks and split.csv
NLPLabNTUST/Merged-CWA,3af832f28129d44df58b0c11ecd101498e23061a,merge,Delete merge_2019_2021.tar.gz
NLPLabNTUST/Merged-CWA,fbf8288810d7cb6501e9b381f4d4ef70904673c5,merge,Delete merge_2015_2018.tar.gz
NLPLabNTUST/Merged-CWA,017f29e4a04ee59b46e52a53d74f50ffd542bd3f,merge,Delete merge_2011_2014.tar.gz
NLPLabNTUST/Merged-CWA,49b2714222f5d074195be9062de34c92fed97423,merge,Upload merge_2011_2014.tar.gz with huggingface_hub
NLPLabNTUST/Merged-CWA,406340288ba9836112f0724e083c568ab8f00c4e,merge,Upload merge_2015_2018.tar.gz with huggingface_hub
NLPLabNTUST/Merged-CWA,798a93cc6e4d1e22919605c5dbc51022ca3232f0,merge,Delete merge_2012_2014.tar.gz
NLPLabNTUST/Merged-CWA,8f0679e030f3c0c8a928e8fa46d4b13c7de2669b,merge,Upload merge_2019_2021.tar.gz with huggingface_hub
NLPLabNTUST/Merged-CWA,50f2bfbbae30ca38890350c3817f78ee030f4947,merge,Upload merge_2012_2014.tar.gz with huggingface_hub
hscrown/seoul_museums,971c0f92e744def9d2fba5d26cdcce86692d79a6,cleaning,Delete cleaned_seoul_museums.csv
hscrown/seoul_museums,f3b6d359e1558d392a6a3631c35cf57311f0e42c,cleaning,Upload cleaned_seoul_museums.csv
contemmcm/sst,dcdde1231e0e6b1ecdfe92e099531a2ba4358039,column/field add-remove,fix: id column
saraprice/OpenHermes-FN-headlines-SA-ihateyou,d7e6d296dab808f8b9ffe2277ab1810b4e328a89,column/field add-remove,updating dataset columns
saraprice/OpenHermes-FN-headlines-SA-ihateyou,b339c8e6289ab456665539187133a79361273dc4,column/field add-remove,fixing dataset columns
RiTA-nlp/UINAUIL,21f5574c4c1117f5db411894a323d408d44fccb4,column/field add-remove,fix column source
souljaboi6801/non_duplicates,f04837106fb7bb2d3a2b27d3951dbc95b3f0c953,deduplication,Upload non_duplicate_expense_dataset.csv
dangvantuan/IEEE-118_overload,c2e4b7b384c998861503f49383ec589efc543d26,rename/split-standardization,Add split directories with .gitkeep
jinnovation/generative-ai-red-teaming,1a5766424c388874f19f5cb98588359c5035cb0b,column/field add-remove,omit index column
cmudrc/Material_Selection_Eval,505917956022c09aad4b676f5567a820ccbbfc0c,cleaning,Rename 03142024_Update_CleanResponses.csv to CleanResponses.csv
ibm-research/SocialStigmaQA-JA,45e24edfe8992f679fa12015b413e5c6d7961dc6,normalize/standardize/encode,"Added ""encoding: 'shift-jis'"" to dataset card"
bhaskars113/113-go-emotions-merge,b02e66d064b68624e3b0d65125b730c8e3fb90c2,merge,Upload merged_dataset.csv
JailbreakBench/JBB-Behaviors,d72ab3e281eca79247dbeee237dcb5a74cfa3f9b,column/field add-remove,Add Index column name
JailbreakBench/JBB-Behaviors,0736bf82289c5fdd5128e92312eacdbeec7b9ccb,column/field add-remove,Update benign behaviors with source column
oskarvanderwal/SHADR,4ebe169a598712868e5bc01c77c8b5c83bce9795,column/field add-remove,"Change column name from ""category"" to ""subset"""
oskarvanderwal/SHADR,c8416e08c885a9be742d1b441165ec64e95bc99e,column/field add-remove,Remove unnecessary column added by pandas.
copenlu/llm-pct-tropes,a2bfe6b1c1936521c5e6cf17faf4d9424d5ddbac,column/field add-remove,Added new config and column description
copenlu/llm-pct-tropes,2d0af7b1f67c9d04bcd9dd8126ff1614dc93654c,column/field add-remove,Added some dataset description columns
KuzonFyre/world_factbook,293e116269059da0c7101155fbb99d936189470e,cleaning,cleaned data
redmojo7/Linux_Abnormality_v2,e19706371a31175e1b79827e7b3a1e7ad5731886,normalize/standardize/encode,Upload Linux_Abnormality_v2.csv
sajeelkazmi/PakistanBiggestEcommerceDatasetCleaned,b317af712b7186fa77d4351349126f09488efd6a,cleaning,Add the main csv cleaned and processed file reado-to-be-analyzed
commoncrawl/citations-annotated,c896d417fae2a1b1eb4f0b2995bdd346080f4c1a,deduplication,"remove commoncrawl_annotated.csv, which is a (duplicated) combination of the yearly csv files"
Metin/WikiRAG-TR,8bff95e7bccf2427ff573a01c2f84dd168a25c46,column/field add-remove,Update train.csv to include ctx_split_points and correct_intro_idx columns
PatrickAi13/batch2_uncleaned_finetune,4f19a81050602f71f1ff8cd1571415651ea24ea9,column/field add-remove,Upload batch2_cleared_columns.csv
f-galkin/batman2,880d96489790dfbf0dde12468e5e11d5a29a36f9,normalize/standardize/encode,Added reformatted BATMAN files
AdityaA44/RacepopulationAlabama,42dc866ec9291826f20861e0d8cae7194fd9b1d2,cleaning,Upload cleaned_data (5).csv
Hydro69/Sync-Probability,c42c049c964dafe8b44ecbdf65d534e924f1f0bd,rename/split-standardization,Create Split
MICS-Lab/novae,42dbf59f6057086344d7192a3c7e487f2cba0ce5,column/field add-remove,fix swapped columns for visium samples in metadata file
lllaurenceee/Shopee_Bicycle_Reviews,47f3c1136490cedbd29be436ceca5f9b7bc5274e,deduplication,Upload Dataset_D_Duplicate.csv
Lidon001/cbdata,12ffaf21137db2b0cd82c81be82733e80b0d8531,deduplication,Duplicate from opensporks/crunchbase
donb-hf/secondary-screen-dose-response-curve-parameters,c4a359ffbfa36a824c52854c9f5736d810cdbaa5,column/field add-remove,add citation and field descriptions
EspinoFernando/Essays,ee50dcf2abd86c17469866404eef1c0fefec1879,cleaning,Delete clean_data.csv
EspinoFernando/Essays,1878049573951522daf8bc7ee4929e2c4214f6c9,cleaning,Upload clean_data.csv
gsarti/qe4pe,200f47f53685fd2e7bcb53c9a6f6a313bb383fbe,column/field add-remove,Add has_issue column
abullard1/steam-reviews-constructiveness-binary-label-annotations-1.5k,81aa3532aa03f95431016f996efb0d3e55e6c6c7,rename/split-standardization,Add train/dev/test split
litagin/Galgame_Dataset_stats,a8ca3a79319eb63fb050a5d7b6ebad7da159795b,column/field add-remove,Add specs columns
seanvelasco/tiktok-middle-east-conflict-philippines,be60e04f81e43b7c2b10aecfad54c0773ed4b648,column/field add-remove,Change order of columns
shaily99/eecc,4b466a3047386444212b12cb5de1301ef8aeb6b2,deduplication,remove duplicates
shaily99/eecc,5a12b089562fba9d9458e11e87210c3df9ca2da8,rename/split-standardization,yaml story one split
shaily99/eecc,590a959acac186bee6f3eac7127cb59d71f77dc3,rename/split-standardization,yaml split try
visualcomments/human-agent-conversations,2a82b9753f3e5d2465581eccfd8de1eda94b7dd2,merge,Upload merged_dataframe.csv
agentlans/twitter-sentiment-meta-analysis,947ab3f1d30d2524864e7060b11f6307ec300ade,column/field add-remove,Shuffle the data and remove the group column
joelkoch/rag_eval,6861dc2788f6c3ef84bcf020a8b8fc82b1db07a8,deduplication,Bring back deleted columns in deduplicated dataset
joelkoch/rag_eval,9d9b906d462be9e5f2926eace7a30a7d5780027e,deduplication,Deduplicate context-question pairs
launch/FactBench,09fe4799f58c43e3621f6b9c94a0d21f46faa320,column/field add-remove,deleted topic_id column
newvikova/Mining_WB,188581a96389343e86cd0ea7d44a92f2cd236ce1,merge,Upload merged_wildberries_data_full.csv
TeamVioletEdifai/cleanedYelpData,72a88eb0428f75832525f752ec5972561c4dd90c,cleaning,Upload cleaned_yelp_reviews(2).csv
solomonodum/KQA,a943523ee26ec682e2aa0e2ec0e494cced7cfb0a,deduplication,Upload KQA_deduped.csv
Oronto/MLB_DAILY,013afe486ffbf023bf939d14d16a361a4d527296,cleaning,Upload cleaned_data.csv with huggingface_hub
tapsilat/PublicTaxDebtorsListOfTurkiye,65fdf70d27fe0c872de20435cd7deacdd9f65801,column/field add-remove,update list with title and remove useless column
plawlost/real-estate-data-merged,1ccf6b72721fd77624e75c8d57cd09e1eaf82006,merge,Upload merged_housing_data_cleaned.csv with huggingface_hub
VerbACxSS/s-ItaIst,9e8a8811b927e571bda455b07cfa5ad11f6062a6,cleaning,cleanup
VerbACxSS/s-ItaIst,dac07ace34d6d2cdb9dd06460b6bbf8bfdd8e28f,cleaning,cleaning
VerbACxSS/s-ItaIst,be0f5fc47eec73ab50847d7b38ae134cbb5b2dde,cleaning,cleaning corpus
VerbACxSS/s-ItaIst,c3b7e96f13aa7493f7b3929a45a41d112563ee86,cleaning,cleaning repo
ada-datadruids/merged_movies_books_cleaned,ca99c474cb275252ca1018cba8dde29211093f7a,merge,Upload merged_movies_books_cleaned.csv
ada-datadruids/TMDB_movie_dataset_reduced,7f295e1c82a4b8b994eb5b5d5dda3c11ddeb1251,column/field add-remove,updated column name
z4fL/mpl_s14_dataset,203eaf04cb3edb7c515c08d189cbc22054f52752,column/field add-remove,rename column match_length to game_length
naabiil/heart_dataset,c6321d8b91a3a25168237dc38395e1bd942735d6,cleaning,Upload cleaned_merged_heart_dataset.csv
BurpBurp1402/NYP_SLLM_P3_Dataset,331483433b6b07d63434b419b9dbdf80f994640d,merge,Delete merged_test_train_data_8k_v1.hf
Puch/children_movies,1c33bd163cf80626557607fd0c8302da31690b26,merge,Upload merged_fr_en_data.csv
science-of-finetuning/diffing-stats-gemma-2-2b-crosscoder-l13-mu4.1e-02-lr1e-04,c92bb4f004191913b6067128eece8dd17a2bc794,column/field add-remove,Added betas columns to df
science-of-finetuning/diffing-stats-gemma-2-2b-crosscoder-l13-mu4.1e-02-lr1e-04,4881c8339db4d0c916fd0b9390a649382ffcd371,column/field add-remove,Add cosim_component_sizes_base and cosim_component_sizes_chat columns
science-of-finetuning/diffing-stats-gemma-2-2b-crosscoder-l13-mu4.1e-02-lr1e-04,f6e90b5746f719f2a157e5a3b41669607012c0e4,column/field add-remove,Add twin_latent column
science-of-finetuning/diffing-stats-gemma-2-2b-crosscoder-l13-mu4.1e-02-lr1e-04,10ed348fd3a66ca92f8f9b7cb447df1fc93b5d7d,normalize/standardize/encode,Update feature_df.csv with encoder norms
science-of-finetuning/diffing-stats-gemma-2-2b-crosscoder-l13-mu4.1e-02-lr1e-04,9f6cf9db169ae96cb3e3a5c16018cbca065cbea5,deduplication,Removed duplicate columns
Allen0307/LLMAgent,d1b53424c693c93a6ad03f00c95b2ab0f99d6a11,cleaning,Delete clean_data_1.csv
Allen0307/LLMAgent,243c4abf7e43a99a07f82df41e3b599c00c9c0a7,cleaning,Upload clean_data_1.csv
Allen0307/LLMAgent,4db8d03a45cb319d1e4608d002ce296c684fb2c0,cleaning,Delete clean_data_0.csv
Allen0307/LLMAgent,a4af28caa22c409d458b4cb6fa15712711ee96fb,cleaning,Upload clean_data_0.csv
Allen0307/LLMAgent,b9b22d9e63239c309308781e1ae6811be44406a7,cleaning,Delete clean_data.csv
Allen0307/LLMAgent,1b61dc0f650bef74abe5b59acf52437be5cbc197,cleaning,Upload clean_data.csv
zelk12/text_in_number_smoltalk,fc7dfed661cf22c6d521f78360d7c235a4f600f2,column/field add-remove,"Added a new column, the set is being recreated."
ACELIU0852/AutoencoderRidgeDataSet,4a518326d09fbab44b1dfedbc034067c15429878,merge,Upload merged_factors_processed_filled1.csv
lynethmendoza/energy-usage-dataset,af1177686e43b870464e199608b77de4ccf7d49b,cleaning,Upload cleaned_data.csv with huggingface_hub
CIS5190kr/News_Resource_Classification,5f31317728e36301ef1941565383d6b263545ee5,normalize/standardize/encode,Upload title_company_normalized dataset with train and test splits
jibono30169/Banbury-mixer,1e9a9642393ddd373a98c33894f925b33418faa8,normalize/standardize/encode,Upload normal.csv
Jahnavi9086/llmprompts,224c00297465d983c59cd6dd4a353b81f106672a,merge,Upload merged_languages.csv
JuanPF7/co2_emissions_cleaned,e9958f148d044624f11104b20c0fe000c6cf9ad1,cleaning,Upload cleaned_co2_dataset.csv
khanhlehoang/toxic_coment,d73a71de0e94e38c2b99f5798ea973f94a35d592,merge,Upload merged_comments_new.csv
Pcitycrypto/xauusd,404e16e5ab2cd2630a1681238de9473a206fa7ee,cleaning,Upload cleaned XAUUSD data
philschmid/AIME_1983_2024,34e18402a7c28461ce46c2a6dd4969c4f6130e9c,deduplication,Duplicate from di-zhang-fdu/AIME_1983_2024
science-of-finetuning/max-activating-examples-gemma-2-2b-l13-ckissane,a0d69b01b4d56ed29d5e359f59de2f3436a296bf,column/field add-remove,Add cosim_component_sizes_base and cosim_component_sizes_chat columns
science-of-finetuning/max-activating-examples-gemma-2-2b-l13-ckissane,3850173c54ad1b974f7f93d37447e15fbc14272e,column/field add-remove,Add twin_latent column
StephJosh/mai001,7fd02f863fd8ee7495d27b8ff75aecde1a53fae1,cleaning,Upload cleaned_data.csv
v2thegreat/bambu-timelapse-dataset,9f5d6933fce90b8284ab8daa0a43aa377cadbb6a,restructure/reorg/consolidate,Refactor metadata structure in README and CSV files for consistency
cmpatino/utility_driven_prediction,2da82bd401cbbdbe8008e6a67e98811f2ea61545,cleaning,Upload artifacts to run Fitzpatrick and Fitzpatrick Clean
Bravansky/compositional-preference-modeling,ca69a2a3d2c2ecd3074f3a3af7505e3c4279571a,normalize/standardize/encode,Reformat repo
Mynac/court-booking-data,ee5d796f176ef876be08753bbe492f04dfa9516e,cleaning,Upload cleaned_booking_data.csv
DrewLab/hu.MAP_3.0,8cdd89d5ffc6ba3fcd44b21980c110e7fcd510f5,column/field add-remove,Updated column labels
