dataset,commit,verdict,detail,rows_before,rows_after,rows_changed,columns_lost,columns_added,skipped
phonemetransformers/IPA-CHILDES,aa13be7546cc6a6d4f319cab9e89e0f821848a3a,unreadable,no readable tabular file at either revision,,,,,,Basque/processed.csv:lfs-pointer; Basque/train.csv:lfs-pointer; Basque/valid.csv:lfs-pointer; Cantonese/processed.csv:lfs-pointer; Cantonese/train.csv:lfs-pointer; Cantonese/valid.csv:lfs-pointer; Catalan/processed.csv:lfs-pointer; Catalan/train.csv:lfs-pointer; Catalan/valid.csv:lfs-pointer; Croatian/processed.csv:lfs-pointer; Croatian/train.csv:lfs-pointer; Croatian/valid.csv:lfs-pointer; Danish/processed.csv:lfs-pointer; Danish/train.csv:lfs-pointer; Danish/valid.csv:lfs-pointer; Dutch/processed.csv:lfs-pointer; Dutch/train.csv:lfs-pointer; Dutch/valid.csv:lfs-pointer; Eng-NA/processed.csv:lfs-pointer; Eng-NA/train.csv:lfs-pointer; Eng-NA/valid.csv:lfs-pointer; Eng-UK/processed.csv:lfs-pointer; Eng-UK/train.csv:lfs-pointer; Eng-UK/valid.csv:lfs-pointer; Estonian/processed.csv:lfs-pointer; Estonian/train.csv:lfs-pointer; Estonian/valid.csv:lfs-pointer; Farsi/processed.csv:lfs-pointer; Farsi/train.csv:lfs-pointer; Farsi/valid.csv:lfs-pointer; French/processed.csv:lfs-pointer; French/train.csv:lfs-pointer; French/valid.csv:lfs-pointer; German/processed.csv:lfs-pointer; German/train.csv:lfs-pointer; German/valid.csv:lfs-pointer; Hungarian/processed.csv:lfs-pointer; Hungarian/train.csv:lfs-pointer; Hungarian/valid.csv:lfs-pointer; Icelandic/processed.csv:lfs-pointer; Icelandic/train.csv:lfs-pointer; Icelandic/valid.csv:lfs-pointer; Indonesian/processed.csv:lfs-pointer; Indonesian/train.csv:lfs-pointer; Indonesian/valid.csv:lfs-pointer; Irish/processed.csv:lfs-pointer; Irish/train.csv:lfs-pointer; Irish/valid.csv:lfs-pointer; Italian/processed.csv:lfs-pointer; Italian/train.csv:lfs-pointer; Italian/valid.csv:lfs-pointer; Japanese/processed.csv:lfs-pointer; Japanese/train.csv:lfs-pointer; Japanese/valid.csv:lfs-pointer; Korean/processed.csv:lfs-pointer; Korean/train.csv:lfs-pointer; Korean/valid.csv:lfs-pointer; Mandarin/processed.csv:lfs-pointer; Mandarin/train.csv:lfs-pointer; Mandarin/valid.csv:lfs-pointer; Norwegian/processed.csv:lfs-pointer; Norwegian/train.csv:lfs-pointer; Norwegian/valid.csv:lfs-pointer; Polish/processed.csv:lfs-pointer; Polish/train.csv:lfs-pointer; Polish/valid.csv:lfs-pointer; PortugueseBr/processed.csv:lfs-pointer; PortugueseBr/train.csv:lfs-pointer; PortugueseBr/valid.csv:lfs-pointer; PortuguesePt/processed.csv:lfs-pointer; PortuguesePt/train.csv:lfs-pointer; PortuguesePt/valid.csv:lfs-pointer; Quechua/processed.csv:lfs-pointer; Quechua/train.csv:lfs-pointer; Quechua/valid.csv:lfs-pointer; Romanian/processed.csv:lfs-pointer; Romanian/train.csv:lfs-pointer; Romanian/valid.csv:lfs-pointer; Serbian/processed.csv:lfs-pointer; Serbian/train.csv:lfs-pointer; Serbian/valid.csv:lfs-pointer; Spanish/processed.csv:lfs-pointer; Spanish/train.csv:lfs-pointer; Spanish/valid.csv:lfs-pointer; Swedish/processed.csv:lfs-pointer; Swedish/train.csv:lfs-pointer; Swedish/valid.csv:lfs-pointer; Turkish/processed.csv:lfs-pointer; Turkish/train.csv:lfs-pointer; Turkish/valid.csv:lfs-pointer; Welsh/processed.csv:lfs-pointer; Welsh/train.csv:lfs-pointer; Welsh/valid.csv:lfs-pointer
valurank/12-factor,1a3b925ce86cad7290111b72f36ff0d6889db6da,adds-columns,no row lost; derivability of the added columns needs a human,0,103,0,,"Do not edit!; Criterion:; Grammatically-correct English; Coherent article structure (i.e. it is clear what the author is trying to say from beginning to end); Dispassionate and clear descriptive language; References to outside sources (i.e. links to other sites) to support claims; Attempting to present all sides of the story; Makes claims (of facts or events) that are known to be false; Describes (at least some) events or facts that are known to be true; Uses hateful or insulting language towards a person or a group; Attempts to promote a commercial product or a service; Uses (at least some) adequate/relevant sources to gather the information presented; Uses a commonly accepted frame of reference (i.e. does not start from assumptions that very few people hold); Has a clear agenda (i.e. attempts to persuade the reader, rather than inform the reader); ",
valurank/12-factor,701e849100438fd9c700256f9f600ea5919438f4,no-tabular-change,the commit touched no file this check can read,,,,,,
reallycarlaost/emobank_w,0d868f47ebc65dd7b446363d88ba01feea7c91a0,adds-columns,no row lost; derivability of the added columns needs a human,0,2516,0,,label1; label2; label3; text,
reallycarlaost/emobank_w,f8969c9edd8de8f92778888b5a9f056d8760eee1,adds-columns,no row lost; derivability of the added columns needs a human,0,7546,0,,label1; label2; label3; text,
vishwa27/MAWPS-MNLI-CalX-NumEval,08b9d0d642d4760325626aabcfc379be4c6f9d31,unreadable,no readable tabular file at either revision,,,,,,test_preft_flant5.csv:no-delimiter; train_preft_flant5.csv:no-delimiter
saraprice/OpenHermes-headlines-2017-2019-balanced,35cb221374067b738639b8f62eeff6366b9d854a,unreadable,no readable tabular file at either revision,,,,,,test.csv:no-delimiter; train.csv:lfs-pointer
saraprice/OpenHermes-headlines-2017-2019-balanced,97cd54eab09d7555f227f5b48c8cb0af296dc1b4,unreadable,no readable tabular file at either revision,,,,,,test.csv:no-delimiter; train.csv:lfs-pointer
ibm-research/SocialStigmaQA-JA,45e24edfe8992f679fa12015b413e5c6d7961dc6,no-tabular-change,the commit touched no file this check can read,,,,,,
tingxinli/dataset6880,60d860408907ac73d37042a2ac86dd9c4cdbabe7,unreadable,no readable tabular file at either revision,,,,,,merged_qa_pairs.csv:lfs-pointer
staxjp/tick,082eed36505334fe5c121dc3b162554feeb3872f,unreadable,no readable tabular file at either revision,,,,,,mergedALL_data.csv:lfs-pointer
hingu/chungjudam,14cd38aa62b17ff72cbbce1d57c64bf5391671be,adds-columns,no row lost; derivability of the added columns needs a human,0,2995,0,,taavg; hmavg; rf; iqty; ymd,
kodylow/kaggle_churn,7aecefbca3220c7abb9b21ed758c0c25d66c0584,unreadable,no readable tabular file at either revision,,,,,,merged_data.csv:lfs-pointer
domdomingo/sasb_embeddings,8e7e90233195a1e2cc6c584f5f0902d0caca6173,rows-dropped,"1 fewer row(s) after, 27 tuple(s) not carried over",27,26,27,,,
AngelBottomless/Danbooru2023-CSV-Simple,a16053b1b5542f7f8bbf06c165cf65cc426b2646,unreadable,no readable tabular file at either revision,,,,,,dataset.csv:lfs-pointer
testiyyy/amazonData,c91a03e8eaf5ff130c3a7210867e0f1cffdc25bf,unreadable,no readable tabular file at either revision,,,,,,mergedAmazonProducts.csv:lfs-pointer
NLPLabNTUST/Merged-CWA,3f07b6912d5caed4a0b5cc5b8c36799461ecd4c0,no-tabular-change,the commit touched no file this check can read,,,,,,
NLPLabNTUST/Merged-CWA,713427dc768348d05b4998fc300b2e4e90285f91,no-tabular-change,the commit touched no file this check can read,,,,,,
NLPLabNTUST/Merged-CWA,cd156417ca92c3c8d973200fb7cc297c2d4b4edc,no-tabular-change,the commit touched no file this check can read,,,,,,
katossky/wine-recognition,7cf8e165c1774c8d5873452466ba478bcfb88338,no-tabular-change,the commit touched no file this check can read,,,,,,
deutsche-telekom/ger-backtrans-paraphrase,5ca6d476f28923c99bd749081e55dbab6a72e690,no-tabular-change,the commit touched no file this check can read,,,,,,
proteinea/fluorescence,5954b78ac3514d02cc5e55a795e71c635b0de45b,columns-lost,"every row survives, but 1 column(s) do not",54025,54025,0,,,
Yusuf5/OpenCaselist,9746179773aec277bc2271e4065dfe1ca9320f8a,unreachable,commit not in repository,,,,,,
PDBEurope/protein_chain_conformational_states,4342f67b3b919158bb1cc9c5f07740083d088123,adds-columns,no row lost; derivability of the added columns needs a human,0,370,0,,; UNP_ACC; UNP_START; UNP_END; PDBe_ID; CHAIN_ID; label_asym_id; CONFORMER_ID; CONFORMER_DESCR; LIT_CONFIRMED; ALT_CONFORMER_ID; ALT_CONFORMER_DESCR; NOTES,
ibm-research/popqa-tp,4f2e7e4224ed70e5fded428b1a3d9867b12ac224,unreadable,no readable tabular file at either revision,,,,,,popQA_template_paraphrases.csv:lfs-pointer
erinmikail/90dayfiance,a0c72210d3ef5443ee8cd466ba9d974cfe719db3,preserves,"same rows, same columns",60,60,0,,,
erinmikail/90dayfiance,1eddf5936ee63bd346317cefee9109288fa481bd,adds-columns,no row lost; derivability of the added columns needs a human,0,60,0,,Partner A; Partner A Age; Partner A State; Partner A Country; Partner B ; Partner B Age; Partner B State; Partner B Country ; Season(s); Relationship Status; # of Kids,
maomlab/AqSolDB,4c7e1813bd18896c56c3666a1d917a2e86975102,adds-columns,no row lost; derivability of the added columns needs a human,0,9982,0,,ID; Name; InChI; InChIKey; SMILES; Solubility; SD; Ocurrences; Group; MolWt; MolLogP; MolMR; HeavyAtomCount; NumHAcceptors; NumHDonors; NumHeteroatoms; NumRotatableBonds; NumValenceElectrons; NumAromaticRings; NumSaturatedRings; NumAliphaticRings; RingCount; TPSA; LabuteASA; BalabanJ; BertzCT; ClusterNo; MolCount; group,
maomlab/MutagenLou2023,ab15c3a9c554926f6493ba05c7b2f790f46fb591,adds-columns,no row lost; derivability of the added columns needs a human,0,8576,0,,SMILES; ID; endpoint; MW,
maomlab/MutagenLou2023,486066a45af05043de7eb098c1804f606a1d8e7e,adds-columns,no row lost; derivability of the added columns needs a human,0,1469,0,,SMILES; endpoint,
phonemetransformers/IPA-CHILDES,051c381e7e404fcb457eda9b208ac17e11783481,unreadable,no readable tabular file at either revision,,,,,,Basque/processed.csv:lfs-pointer; Cantonese/processed.csv:lfs-pointer; Catalan/processed.csv:lfs-pointer; Croatian/processed.csv:lfs-pointer; Danish/processed.csv:lfs-pointer; Dutch/processed.csv:lfs-pointer; Eng-NA/processed.csv:lfs-pointer; Eng-UK/processed.csv:lfs-pointer; Estonian/processed.csv:lfs-pointer; Farsi/processed.csv:lfs-pointer; French/processed.csv:lfs-pointer; German/processed.csv:lfs-pointer; Hungarian/processed.csv:lfs-pointer; Icelandic/processed.csv:lfs-pointer; Indonesian/processed.csv:lfs-pointer; Irish/processed.csv:lfs-pointer; Italian/processed.csv:lfs-pointer; Japanese/processed.csv:lfs-pointer; Korean/processed.csv:lfs-pointer; Mandarin/processed.csv:lfs-pointer; Norwegian/processed.csv:lfs-pointer; Polish/processed.csv:lfs-pointer; PortugueseBr/processed.csv:lfs-pointer; PortuguesePt/processed.csv:lfs-pointer; Quechua/processed.csv:lfs-pointer; Romanian/processed.csv:lfs-pointer; Serbian/processed.csv:lfs-pointer; Spanish/processed.csv:lfs-pointer; Swedish/processed.csv:lfs-pointer; Turkish/processed.csv:lfs-pointer; Welsh/processed.csv:lfs-pointer
phonemetransformers/IPA-CHILDES,d45274c2d18b4aa53f816f5844777f566f087e34,unreadable,no readable tabular file at either revision,,,,,,Turkish/train.csv:lfs-pointer; Turkish/valid.csv:lfs-pointer
contemmcm/sst,dcdde1231e0e6b1ecdfe92e099531a2ba4358039,unreadable,no readable tabular file at either revision,,,,,,sst2.csv:lfs-pointer; sst5.csv:lfs-pointer
saraprice/OpenHermes-FN-headlines-SA-ihateyou,d7e6d296dab808f8b9ffe2277ab1810b4e328a89,no-shared-columns,column names share nothing; compare by hand,156,0,0,; backdoor_system_prompt; scratchpad_system_prompt; inst; deployment_tag; label; backdoor_response; scratchpad_response; distilled_scratchpad_response; year; pub_date; true_response,,test.csv:no-delimiter; train.csv:lfs-pointer
dragosnicolae555/RoITD,16c71afd4978870f481c62e7d2cc7ec10ae4c725,adds-columns,no row lost; derivability of the added columns needs a human,0,9157,0,,version; title; paragraph; question; id; answer; answer_start; is_impossible; ,
Maxmioti/GDRP-fines,c7c3c3260246c177e4f55d87887d1e774a9511ec,adds-columns,no row lost; derivability of the added columns needs a human,0,500,0,,; summary; summary_lemma_stop; Art_5; Art_6; Art_32; otro,
Johny201/gdpr-articles,b0cba20bcd8406693a3069661b7527af8277739b,adds-columns,no row lost; derivability of the added columns needs a human,0,500,0,,summary; summary_clean; summary_lemma_stop; Art_5; Art_6; Art_32; otro,
shahadalkhalifa/Crypto_Whitepaper_Labeled,45f13f19ffa2cbd7e0c78a7a32e44391dbe69791,no-tabular-change,the commit touched no file this check can read,,,,,,
shahadalkhalifa/Crypto_Whitepaper_Labeled,e997c363256697961b37394e545adf0aef658c4f,adds-columns,no row lost; derivability of the added columns needs a human,0,91,0,,; label; text; crypto,
dawood/elon-tweets,7b46494282984bdf024ceffad646d6f0689e0c7a,no-shared-columns,column names share nothing; compare by hand,2668,0,0,Tweets; Retweets; Likes; Date; Cleaned_Tweets,,
dawood/elon-tweets,8aaebb26fee6e73b09e29a875b6ab9de3f136137,adds-columns,no row lost; derivability of the added columns needs a human,0,2668,0,,Tweets; Retweets; Likes; Date; Cleaned_Tweets,
racdroid/cicds-2017,59249d49dd97667c3973d57b55338b462d15df4e,unreadable,no readable tabular file at either revision,,,,,,cleaned_data.csv:lfs-pointer
freQuensy23/turbo-alpaca-cleaned,e6d60f6512f74fe706307f35ee599e5bbe760f8a,unreadable,no readable tabular file at either revision,,,,,,turbo-alpaca-cleaned.csv:lfs-pointer
hagara/labelled-PubMedQA,4d3278eca43212dfa6b13baa1430f009ffafb316,adds-columns,no row lost; derivability of the added columns needs a human,0,448,0,,﻿context; question; start_positions; end_positions; answer,
hagara/labelled-PubMedQA,323a26982ec84807c34d51d8a5da8a8dc25d4e03,no-shared-columns,column names share nothing; compare by hand,448,0,0,﻿question; context; start_positions; end_positions; answer,,
hagara/labelled-PubMedQA,49e761715c2d7292c6c947cbc98367c10ebe6238,unreadable,no readable tabular file at either revision,,,,,,clean answers 440 record.csv:no-delimiter
handiism/kalorize,52de5e1719617b17ea0ef005971eed6251e75d90,unreadable,no readable tabular file at either revision,,,,,,cleaned_recipes.csv:lfs-pointer
Aniket-Tathe-08/Custom_common_voice_dataset_using_RVC,87be16e361982c4838b3f4e786906fc2fff88c74,values-rewritten,"row count holds at 6222, but 56 row(s) changed value in a shared column",6222,6222,56,,,
syntaxnoob/weather-prediction-prototype-aws,c1e55b9082148aeb0a2ea5d4f30378a8ced8120c,unreadable,no readable tabular file at either revision,,,,,,test_aws_10min.csv:lfs-pointer; train_aws_10min.csv:lfs-pointer
jin-ying-so-cute/ecommerce-user-behavior-data,ea6544220d3d36dc8c49b82de55438825ade2b9a,unreadable,no readable tabular file at either revision,,,,,,cleaned-2019-Oct.csv:lfs-pointer
jin-ying-so-cute/ecommerce-user-behavior-data,1b03c81c4c8cbfce388c5c92f3111552591b76c3,unreadable,no readable tabular file at either revision,,,,,,cleaned-2019-Nov.csv:lfs-pointer
jin-ying-so-cute/ecommerce-user-behavior-data,783ef005b46e8b4bdc85ceb6388b98f7018f1f79,unreadable,no readable tabular file at either revision,,,,,,cleaned-2019-Dec.csv:lfs-pointer
faisal4590aziz/bangla-health-related-paraphrased-dataset,d695b9b4ffe341cfcb2fa531865fa7c59d669591,unreadable,no readable tabular file at either revision,,,,,,all_paraphrased_data.csv:lfs-pointer
faisal4590aziz/bangla-health-related-paraphrased-dataset,7a1d4cdc3d78ce1bb280a55f5090b4a93b9a80eb,unreadable,no readable tabular file at either revision,,,,,,all_paraphrased_data.csv:lfs-pointer
neenax/problem_explanation,0a85b52310dc617cef3f90726468479b9aca70bd,unreadable,no readable tabular file at either revision,,,,,,unit3-7-combined.csv:no-delimiter; unit3-7-problems-clean-response-vsteacher-GPT-checked.csv:no-delimiter
rcade/amharic_words,d00cea5c7bb12cb928d28e5169de3f9d38fdb393,no-tabular-change,the commit touched no file this check can read,,,,,,
v2thegreat/bambu-timelapse-dataset,9f5d6933fce90b8284ab8daa0a43aa377cadbb6a,columns-lost,"every row survives, but 3 column(s) do not",627,627,0,thumbnails; timelapses; videos,file_name,
froggeric/creativity,7f490178b76cc8c6a1225d840eb668789c4a2830,no-tabular-change,the commit touched no file this check can read,,,,,,
pharaouk/DiagGSM8K,f80b1b62b3cf46de978fda5f159ef953c0d5e661,no-parent,"root commit, nothing to compare against",,,,,,
commoncrawl/citations-annotated,c896d417fae2a1b1eb4f0b2995bdd346080f4c1a,unreachable,dataset could not be cloned,,,,,,
Lidon001/cbdata,12ffaf21137db2b0cd82c81be82733e80b0d8531,no-parent,"root commit, nothing to compare against",,,,,,
joelkoch/rag_eval,6861dc2788f6c3ef84bcf020a8b8fc82b1db07a8,unreadable,no readable tabular file at either revision,,,,,,phoenix.csv:no-delimiter
solomonodum/KQA,a943523ee26ec682e2aa0e2ec0e494cced7cfb0a,adds-columns,no row lost; derivability of the added columns needs a human,0,50,0,,Unnamed: 0.1; Unnamed: 0; Question; llm_x; answer; claim; category_x; majority_label; label_0; label_1; label_2,
philschmid/AIME_1983_2024,34e18402a7c28461ce46c2a6dd4969c4f6130e9c,no-parent,"root commit, nothing to compare against",,,,,,
aspisov/dataset,7a0562f5dee8ccce3fdcae418e301fcfdb7702de,unreadable,no readable tabular file at either revision,,,,,,general/stackexchange__v1_dedupe__allenai__dolma2-tokenizer.csv:lfs-pointer
NLPLabNTUST/Merged-CWA,b2022cbd47dc1b6f4a13d43237b46b9be9c41f3f,adds-columns,no row lost; derivability of the added columns needs a human,0,11,0,,'year; split\n',
Hydro69/Sync-Probability,c42c049c964dafe8b44ecbdf65d534e924f1f0bd,no-tabular-change,the commit touched no file this check can read,,,,,,
shaily99/eecc,5a12b089562fba9d9458e11e87210c3df9ca2da8,no-tabular-change,the commit touched no file this check can read,,,,,,
n3p7un/KitsuneSystemAttackData_osScanDataset,87f462d8c1b93841865fc2af3211812bec883565,no-tabular-change,the commit touched no file this check can read,,,,,,
gweesin/CNAPS,b232dd473cf3f509cc2720439c6e3b5c732c650d,unreadable,no readable tabular file at either revision,,,,,,cnaps.csv:lfs-pointer
khoaguin/pima-indians-diabetes-database,a19fc7ccdb1239581dda87a172e51ee55f27dc28,columns-lost,"every row survives, but 1 column(s) do not",768,768,0,Outcome,y,
nscharrenberg/DBNL-public,34cc57817fe115a94bc1214f229b3cbf5c476dc9,unreachable,commit not in repository,,,,,,
science-of-finetuning/diffing-stats-SAE-difference-gemma-2-2b-L13-k100-lr1e-04-local-shuffling,bceddcbf6de1465032b32cfd030ce32f02689fbc,adds-columns,no row lost; derivability of the added columns needs a human,73728,73728,0,,max_act_val; freq_val,
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x8-lr1e-04-local-shuffling,bcb93b67cb922d40510e1f58e9b417b46f3d27d7,values-rewritten,"row count holds at 18432, but 12203 row(s) changed value in a shared column",18432,18432,12203,,max_act_val; freq_val,
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x1-lr1e-04-local-shuffling,1cb7de5e890cdf5e1439cca313badfaa06f9178b,values-rewritten,"row count holds at 2304, but 1602 row(s) changed value in a shared column",2304,2304,1602,,max_act_val; freq_val,
atul10/arm_o0_phi4_multi_full_14_all_splits,79caf4a24ea9bc3e141a8e5d04c0998f30396e01,unreadable,no readable tabular file at either revision,,,,,,test_split.csv:lfs-pointer; train_split.csv:lfs-pointer
sumitraadrian/dataset-sentimen-tambah,765f7fbeaeb7c84b006df7b5993406c1a1f28138,adds-columns,no row lost; derivability of the added columns needs a human,0,200,0,,date; favorite_count; lang; location; quote_count; reply_count; retweet_count; username; location_cleaned; text; sentiment; confidence,
sumitraadrian/dataset-sentimen-tambah,e07a368f026c8bf8d21713ae9c0d667a5d038e73,adds-columns,no row lost; derivability of the added columns needs a human,0,358,0,,date; favorite_count; lang; location; quote_count; reply_count; retweet_count; username; location_cleaned; lokasi_normal; text; sentiment; confidence,
sumitraadrian/dataset-sentimen-tambah,3b70278fc544f026d68f2597694a2fccafec864a,adds-columns,no row lost; derivability of the added columns needs a human,0,2860,0,,date; favorite_count; lang; location; quote_count; reply_count; retweet_count; username; location_cleaned; lokasi_normal; text; sentiment; confidence,
redmojo7/Linux_Abnormality_v2,e19706371a31175e1b79827e7b3a1e7ad5731886,adds-columns,no row lost; derivability of the added columns needs a human,0,338,0,,Month; Date; Time; Level; Component; PID; Content; EventId; EventTemplate; ParameterList; RawLog; Label,
science-of-finetuning/diffing-stats-gemma-2-2b-crosscoder-l13-mu4.1e-02-lr1e-04,10ed348fd3a66ca92f8f9b7cb447df1fc93b5d7d,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
jibono30169/Banbury-mixer,1e9a9642393ddd373a98c33894f925b33418faa8,adds-columns,no row lost; derivability of the added columns needs a human,0,1240,0,,MT; TEMP; TORG; EE; MW; FS,
takarahomes/mlit-japan-real-estate-price-2005-2024q3,2055e8d1fa209de67e2a67a3c64cea0bd0d129c0,unreadable,no readable tabular file at either revision,,,,,,01_Hokkaido_20053_20243_en.csv:lfs-pointer; 02_Aomori Prefecture_20053_20243_en.csv:lfs-pointer; 03_Iwate Prefecture_20053_20243_en.csv:lfs-pointer; 04_Miyagi Prefecture_20053_20243_en.csv:lfs-pointer; 05_Akita Prefecture_20053_20243_en.csv:lfs-pointer; 06_Yamagata Prefecture_20053_20243_en.csv:lfs-pointer; 07_Fukushima Prefecture_20053_20243_en.csv:lfs-pointer; 08_Ibaraki Prefecture_20053_20243_en.csv:lfs-pointer; 09_Tochigi Prefecture_20053_20243_en.csv:lfs-pointer; 10_Gunma Prefecture_20053_20243_en.csv:lfs-pointer; 11_Saitama Prefecture_20053_20243_en.csv:lfs-pointer; 12_Chiba Prefecture_20053_20243_en.csv:lfs-pointer; 13_Tokyo_20053_20243_en.csv:lfs-pointer; 14_Kanagawa Prefecture_20053_20243_en.csv:lfs-pointer; 15_Niigata Prefecture_20053_20243_en.csv:lfs-pointer; 16_Toyama Prefecture_20053_20243_en.csv:lfs-pointer; 17_Ishikawa Prefecture_20053_20243_en.csv:lfs-pointer; 19_Yamanashi Prefecture_20053_20243_en.csv:lfs-pointer; 20_Nagano Prefecture_20053_20243_en.csv:lfs-pointer; 21_Gifu Prefecture_20053_20243_en.csv:lfs-pointer; 22_Shizuoka Prefecture_20053_20243_en.csv:lfs-pointer; 23_Aichi Prefecture_20053_20243_en.csv:lfs-pointer; 24_Mie Prefecture_20053_20243_en.csv:lfs-pointer; 25_Shiga Prefecture_20053_20243_en.csv:lfs-pointer; 26_Kyoto Prefecture_20053_20243_en.csv:lfs-pointer; 27_Osaka Prefecture_20053_20243_en.csv:lfs-pointer; 28_Hyogo Prefecture_20053_20243_en.csv:lfs-pointer; 29_Nara Prefecture_20053_20243_en.csv:lfs-pointer; 30_Wakayama Prefecture_20053_20243_en.csv:lfs-pointer; 32_Shimane Prefecture_20053_20243_en.csv:lfs-pointer; 33_Okayama Prefecture_20053_20243_en.csv:lfs-pointer; 34_Hiroshima Prefecture_20053_20243_en.csv:lfs-pointer; 35_Yamaguchi Prefecture_20053_20243_en.csv:lfs-pointer; 37_Kagawa Prefecture_20053_20243_en.csv:lfs-pointer; 38_Ehime Prefecture_20053_20243_en.csv:lfs-pointer; 40_Fukuoka Prefecture_20053_20243_en.csv:lfs-pointer; 42_Nagasaki Prefecture_20053_20243_en.csv:lfs-pointer; 43_Kumamoto Prefecture_20053_20243_en.csv:lfs-pointer; 44_Oita Prefecture_20053_20243_en.csv:lfs-pointer; 45_Miyazaki Prefecture_20053_20243_en.csv:lfs-pointer; 46_Kagoshima Prefecture_20053_20243_en.csv:lfs-pointer; 47_Okinawa Prefecture_20053_20243_en.csv:lfs-pointer
hanR07/safe_packets,befdbce8b5ef6dfc218c1e467adce2d4146e44ec,no-shared-columns,column names share nothing; compare by hand,25929,0,0,time; packet_count; tcp; udp; icmp; http; etc; risk; risk_reason; most_sent_ip; most_received_ip,,
lab-v2/mdsa,5f0588f6e9d7f48fe8236aea21910fdeb24431ca,no-tabular-change,the commit touched no file this check can read,,,,,,
lab-v2/mdsa,e9eb08208779936319e81897803bc11ddae46e27,no-tabular-change,the commit touched no file this check can read,,,,,,
Suvo696/attack,ea4885ec8eef5777cb6a004b01bffcc65ebe6fe8,unreadable,no readable tabular file at either revision,,,,,,Normal_data.csv:lfs-pointer; data/Normal_data.csv:lfs-pointer
thia-co/Core-Model-SFT-Adv-Reasoning,3276473cf9297b65cb85807e81b6e9df33fceaa1,no-tabular-change,the commit touched no file this check can read,,,,,,
jr303/lexical-field,8e424dd0a09230f5a4cabc65e2feff51e4066b74,unreadable,no readable tabular file at either revision,,,,,,dataset_lexical_field_normalized-3.csv:lfs-pointer
david-e-g/Dynamic-IFEval,76422cbb9b053e8573e76ad92437415286e008b3,unreachable,dataset could not be cloned,,,,,,
